word,details,definition,grammaticalClass,stage
forum,"fori, n.","forum, market place",noun 2,0
frango,"frangere, fregi, fractus ",break,verb 3,34
frater,"fratris, m.",brother,noun 3,10
frustra,indecl.,in vain,adv,12
fugio,"fugere, fugi","run away, flee",verb 3,12
gero,"gerere, gessi, gestus","wear (clothes), wage (war)",verb 3,23
gladius,"gladii, m.",sword,noun 2,8
gravis,grave,"heavy, serious",adj 3,21
habeo,"habere, habui, habitus",have,verb 2,4
habito,"habitare, habitavi, habitatus",live,verb 1,10
heri,indecl.,yesterday,adv,7
hic,"haec, hoc",this,pron ,8
hic,indecl.,here,adv,33
hodie,indecl.,today,adv,5
homo,"hominis, m.","man, human being, person",noun 3,9
hora,"horae, f.",hour,noun 1,21
hortus,"horti, m.",garden,noun 2,1
hostis,"hostis, m.",enemy,noun 3,22
iaceo,"iacere, iacui",lie (positional),verb 2,12
iacio,"iacere, ieci, iactus",throw,verb 3,23
iam,indecl.,"now, already",adv,12
ianua,"ianuae, f.",door,noun 1,3
ibi,indecl.,there,adv,18
igitur,indecl.,"therefore, and so",adv,12
ignis,"ignis, m.",fire,noun 3,36
ille,"illa, illud","that, he, she, it",pron,9
imperator,"imperatoris, m.","emperor, commander, general",noun 3,16
imperium,"imperii, n.","empire, power, command",noun 2,10
impero,"imperare, imperavi, imperatus + dat","order, command",verb 1,27
in,+ acc (also used as prefix with verbs),"into, onto",prep,1
in,+ abl (also used as prefix with verbs),"in, on",prep,1
incendo,"incendere, incendi, incensus","burn, set on fire",verb 3,27
infelix,infelicis,"unlucky, unhappy",adj 3,21
ingens,ingentis,huge,adj 3,7
ingredior,"ingredi, ingressus sum",enter,verb 3,34
inquit,common verb,"say, said",verb irreg,4
insula,"insulae, f.","island, block of flats",noun 1,17
intellego,"intellegere, intellexi, intellectus","understand, realise",verb 3,7
inter,+ acc,"among, between",prep,16
interea,indecl.,meanwhile,adv,24
intro,"intrare, intravi, intratus",enter,verb 1,2
invenio,"invenire, inveni, inventus",find,verb 4,10
ira,"irae, f.",anger,noun 1,28
iratus,"irata, iratum",angry,adj 1+2,3
is,"ea, id","this, that, he, she, it, them",pron,8
ita,indecl.,"in this way, so",adv,16
ita vero,indecl.,yes,adv,13
itaque,indecl.,"and so, therefore",adv,17
iter,"itineris, n.","journey, route, way",noun 3,19
iterum,indecl.,again,adv,9
iubeo,"iubere, iussi, iussus",order,verb 2,21
iuvenis,"iuvenis, m.",young man,noun 3,5
iuvenis,iuvenis,young ,adj 3,5
labor,"laboris, m.",work,noun 3,32
laboro,"laborare, laboravi",work,verb 1,1
lacrimo,"lacrimare, lacrimavi","weep, cry",verb 1,7
laetus,"laeta, laetum",happy,adj 1+2,2
latus,"lata, latum",wide,adj 1+2,0
laudo,"laudare, laudavi, laudatus",praise,verb 1,2
legatus,"legati, m.",commander,noun 2,26
legio,"legionis, f.",legion,noun 3,26
lego,"legere, legi, lectus","read, choose",verb 3,11
lente,indecl.,slowly,adv,15
libenter,indecl.,"willingly, gladly",adv,18
liberi,"liberorum, m. pl.",children,noun 2,29
libero,"liberare, liberavi, liberatus","free, set free",verb 1,20
libertus,"liberti, m.","freedman, ex-slave",noun 2,6
locus,"loci, m.",place,noun 2,19
longus,"longa, longum",long,adj 1+2,0
loquor,"loqui, locutus sum ",speak,verb 3,34
lux,"lucis, f.","light, daylight",noun 3,29
magnopere,indecl.,"greatly, very much",adv,30
magnus,"magna, magnum","big, large, great",adj 1+2,3
maior,maius (irregular comparative),"bigger, larger, greater",adj 3,0
malus,"mala, malum","evil, bad",adj 1+2,28
maneo,"manere, mansi","remain, stay",verb 2,9
manus,"manus, f.","hand, group of people",noun 4,18
mare,"maris, n.",sea,noun 3,15
maritus,"mariti, m.",husband,noun 2,14
mater,"matris, f.",mother,noun 3,1
maximus,"maxima, maximum","the biggest, the greatest, very big, very great",adj 1+2,17
medius,"media, medium","middle, middle of",adj 1+2,9
melior,melius (irregular comparative),better,adj 3,16
meus,"mea, meum",my,adj 1+2,5
miles,"militis, m.",soldier,noun 3,18
mille,pl. milia,thousand,adj (numerical),28
minime,indecl.,"very little, least, no",adv,11
minimus,"minima, minimum","very little, very small",adj 1+2,22
minor,minus (irregular comparative),"smaller, less",adj 3,0
